user_name,user_post_url,user_content,user_timestamp,user_replying_to,user_image_alts,user_likes,user_replies,user_reposts,user_shares,brand_reply_url,brand_reply_content,brand_reply_timestamp,brand_replying_to,brand_reply_image_alts,brand_reply_likes,brand_reply_replies,brand_reply_reposts,brand_reply_shares
danny.chen.7146,https://www.threads.com/@danny.chen.7146/post/DRLwTqHCSuC,你不做餅做什麼圖啦，內場忙到爆,2025年11月18日 星期二 下午12:02,@dominospizza_tw,,596,1,,5,https://www.threads.com/@dominospizza_tw/post/DRLwdxmEcWf,我跟你道歉🙇,2025年11月18日 星期二 下午12:03,,,287,1,,1
yume_.0205,https://www.threads.com/@yume_.0205/post/DRLv33Pka81,這是今天最快樂的事情 今天晚餐吃披薩,2025年11月18日 星期二 上午11:58,@dominospizza_tw,,1,1,,,https://www.threads.com/@dominospizza_tw/post/DRLwbjvkUNB,揪友來吃有特價🐙🍕,2025年11月18日 星期二 下午12:03,,,1,,,
zac0927,https://www.threads.com/@zac0927/post/DRLqpmdk7K6,沒事！你繼續去做比薩,2025年11月18日 星期二 上午11:12,@dominospizza_tw,,39,1,,,https://www.threads.com/@dominospizza_tw/post/DRLu_kUkSm9,好 我正在忙 訂單來了,2025年11月18日 星期二 上午11:50,,,28,,,
the__gelateria,https://www.threads.com/@the__gelateria/post/DRLrEXJk7sA,我在等你的圖啊,2025年11月18日 星期二 上午11:16,@dominospizza_tw,,7,1,,,https://www.threads.com/@dominospizza_tw/post/DRLu0gikZJ6,我等你訂餐💋,2025年11月18日 星期二 上午11:49,,,3,,,
xcurating,https://www.threads.com/@xcurating/post/DRLt4lCkhTE,達美樂又贏！,2025年11月18日 星期二 上午11:40,@dominospizza_tw,,5,1,,,https://www.threads.com/@dominospizza_tw/post/DRLuQNYEbXB,贏你的心！這是我唯一在乎,2025年11月18日 星期二 上午11:44,,,4,,,
liuxing90126,https://www.threads.com/@liuxing90126/post/DRLtzMFCc3Z,好壞喔，一邊剛離職你這邊就馬上就職！,2025年11月18日 星期二 上午11:40,@dominospizza_tw,,15,1,,,https://www.threads.com/@dominospizza_tw/post/DRLuNTqkUeu,擴大慶祝,2025年11月18日 星期二 上午11:43,,,9,,,
hamickha,https://www.threads.com/@hamickha/post/DRLuG1lE_B_,小編不辦個活動，關注此帳號並轉發的，這則留言抽出五位脆友一個大披薩🍕（😎,2025年11月18日 星期二 上午11:42,@dominospizza_tw,,52,1,,1,https://www.threads.com/@dominospizza_tw/post/DRLuL79kTGZ,有興趣！,2025年11月18日 星期二 上午11:43,,,53,1,,1
youmegohaha,https://www.threads.com/@youmegohaha/post/DRLtpkhD3Is,買爆,2025年11月18日 星期二 上午11:38,@dominospizza_tw,,2,1,,,https://www.threads.com/@dominospizza_tw/post/DRLttI9ET2_,愛了😻,2025年11月18日 星期二 上午11:39,,,1,,,
nailiang_0911,https://www.threads.com/@nailiang_0911/post/DRLtmOSCRcf,好想吃 但一個人吃不完大的 只好一個人吃小的了,2025年11月18日 星期二 上午11:38,@dominospizza_tw,,4,1,,,https://www.threads.com/@dominospizza_tw/post/DRLtrUhkc7U,大小通吃🥰,2025年11月18日 星期二 上午11:39,,,3,,,
common_scones,https://www.threads.com/@common_scones/post/DRLtmjUEpTa,半價好美，恭喜合格⭕,2025年11月18日 星期二 上午11:38,@dominospizza_tw,,29,1,,,https://www.threads.com/@dominospizza_tw/post/DRLtppPkaJB,謝謝☺️,2025年11月18日 星期二 上午11:38,,,10,1,,
stevenash_337,https://www.threads.com/@stevenash_337/post/DRJRbDaEmXY,防守贏得總冠軍🏆💪💪💪,2025年11月17日 星期一 下午12:53,@stepbackjumper3434,,10,1,,,https://www.threads.com/@dominospizza_tw/post/DRLMvRek36v,夏威夷總冠軍！,2025年11月18日 星期二 上午6:51,,,1,,,
steven20116,https://www.threads.com/@steven20116/post/DRKTu_Fj9d2,今天有兩件讓我崩潰的事…. 必勝客不賣章魚燒比薩 Guma沒有續約…..,2025年11月17日 星期一 下午10:33,,,1,1,,,https://www.threads.com/@dominospizza_tw/post/DRLMmtjk3X-,不崩潰！我陪伴你,2025年11月18日 星期二 上午6:50,,,1,,,
